"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station"
900000215686,"","Perleberg, K.-Liebknecht-Str.",,"53.078459000000","11.854937000000",1,
900000215685,"","Perleberg, Neuer Hennings Hof",,"53.085757000000","11.828362000000",1,
900000215684,"","Perleberg, Waldsiedlung",,"53.059987000000","11.857057000000",1,
160000011382,"BLRM2","Berlin, Ringslebenstr./Mollnerweg",,"52.417597000000","13.443560000000",0,900000081255
160000011392,"BLBU2","Berlin, Buckower Damm/Ringslebenstr.",,"52.417523000000","13.439281000000",0,900000081203
160000011431,"BLNA1","Berlin, Nahariyastr.",,"52.390639000000","13.420175000000",0,900000074207
160000013951,"BBIK1","BBI - Baustelle",,"52.368603000000","13.539148000000",0,900000260534
160000013961,"BBIT1","BBI - Technik",,"52.370698000000","13.527327000000",0,900000260535
160000013981,"SFRA1","Schönefeld, Rathaus",,"52.392385000000","13.502132000000",0,900000260519
160000013992,"SFTD2","Schönefeld, Thomas-Dachser-Allee",,"52.386632000000","13.492286000000",0,900000260518
900000260519,"","Schönefeld (bei Berlin), Rathaus",,"52.392385000000","13.502132000000",1,
900000260518,"","Schönefeld (bei Berlin), Thomas-Dachser-Allee",,"52.386632000000","13.492286000000",1,
900000260534,"","Schönefeld (bei Berlin), BBI-Baustelle",,"52.368603000000","13.539148000000",1,
900000260535,"","Schönefeld (bei Berlin), BBI-Technik (Süd)",,"52.370698000000","13.527327000000",1,
160000006173,"WDBS3","Waltersdorf, Berliner Str.",,"52.361218000000","13.559517000000",0,900000260023
160000013671,"GZKV1","Großziethen, Kreisverkehr",,"52.394410000000","13.444199000000",0,900000260205
160000013672,"GZKV2","Großziethen, Kreisverkehr",,"52.394410000000","13.444199000000",0,900000260205
900000500012,"","Hamburg, Hauptbahnhof",,"53.552739000000","10.006915000000",1,
900000500021,"","Frankfurt (Main), Hauptbahnhof",,"50.107211000000","8.663881000000",1,
900000500032,"","Hannover, Hauptbahnhof",,"52.376764000000","9.741019000000",1,
200000000096,"MAGI6","Magistrale",,"52.345467000000","14.550778000000",0,900000360123
200000000126,"AWTH6","Am Winterhafen",,"52.355434000000","14.547109000000",0,900000360012
200000000136,"NEUW6","Neue Welt",,"52.360499000000","14.543172000000",0,900000360105
200000000146,"LBSV6","Lebuser Vorstadt",,"52.362939000000","14.540919000000",0,900000360084
200000001895,"CONR5","Conergy SolarModule",,"52.322256000000","14.502131000000",0,900000360040
200000001896,"CONR6","Conergy SolarModule",,"52.322256000000","14.502131000000",0,900000360040
200000002175,"OSUN5","Odersun",,"52.318368000000","14.494284000000",0,900000360156
200000002176,"OSUN6","Odersun",,"52.318368000000","14.494284000000",0,900000360156
900000360156,"","Frankfurt (Oder), Odersun",,"52.318368000000","14.494284000000",1,
000008003155,"","Venlo(Gr)",,"51.343227000000","6.191245000000",0,
000008400206,"","Eindhoven",,"51.443065000000","5.479946000000",0,
160000014001,"WAFR1","Waßmannsdorf, Str. des Friedens",,"52.375899000000","13.454183000000",0,900000260216
160000014002,"WAFR2","Waßmannsdorf, Str. des Friedens",,"52.375899000000","13.454183000000",0,900000260216
900000260216,"","Waßmannsdorf, Str. des Friedens",,"52.375899000000","13.454183000000",1,
650030860102,"860102","Fwe, Wasserturm2",,"52.355694000000","14.078629000000",0,900000310823
650030860107,"860107","Fwe, Wasserturm7",,"52.355694000000","14.078629000000",0,900000310823
900000340166,"","Gartz, Stettiner Str.",,"53.210555000000","14.393620000000",1,
900000131529,"BVG","Berlin, Am Iderfenngraben",,"52.582601000000","13.392086000000",1,
900000415356,"","Beutersitz, Bahnhof/Wildgruber Str.",,"51.588092000000","13.357479000000",1,
160000014012,"TEUH2","Teupitz, Bahnhofstr.",,"52.134782000000","13.614661000000",0,900000261123
900000261123,"","Teupitz, Bahnhofstr.",,"52.134782000000","13.614661000000",1,
900000205658,"","Wittstock (Dosse), Rathaus",,"53.163367000000","12.485871000000",1,
900000810110,"","Dabroszyn",,"52.617782000000","14.707989000000",1,
900000810111,"","Kamien Maly",,"52.639710000000","14.776873000000",1,
900000810112,"","Witnica",,"52.667578000000","14.889909000000",1,
900000810113,"","Nowiny Wielkie",,"52.670504000000","15.003495000000",1,
900000810114,"","Bogdaniec",,"52.687490000000","15.081338000000",1,
900000810115,"","Lupowo",,"52.698604000000","15.128557000000",1,
900000810116,"","Gorzow Wielkopolski, Wieprzyce",,"52.718037000000","15.181321000000",1,
900000810117,"","Gorzow Wielkopolski",,"52.725206000000","15.224074000000",1,
900000260540,"","Königs Wusterhausen, Schenkendorfer Flur",,"52.285305000000","13.610576000000",1,
900000260562,"","Friedersdorf (LDS), Hort",,"52.294068000000","13.789670000000",1,
900000215449,"","Karstädt (PR), Postliner Str.",,"53.161639000000","11.746743000000",1,
900000216008,"","Wittenberge, Gehrenweg I",,"52.999256000000","11.741734000000",1,
900000344656,"","Feldberg (Meckl), Bahnhof",,"53.331619000000","13.433855000000",1,
260000000038,"WEG1","Wittenberge, Gehrenweg I",,"52.999256000000","11.741734000000",0,900000216008
260000000063,"PHH1","Perleberg, H.Heine Str.",,"53.069482000000","11.862262000000",0,900000215687
260000000064,"PKL1","Perleberg, K.Liebknecht Str.",,"53.078459000000","11.854937000000",0,900000215686
260000000065,"PNH1","Perleberg, Neuer Hennings Hof",,"53.085757000000","11.828362000000",0,900000215685
260000000066,"PTH1","Perleberg, Tannenhof",,"53.077626000000","11.849105000000",0,900000215683
260000000067,"PWS1","Perleberg, Waldsiedlung",,"53.059987000000","11.857057000000",0,900000215684
260000000323,"KTP1","Karstädt (PR), Postliner Str.",,"53.161639000000","11.746743000000",0,900000215449
260000005801,"PEQ2","Perleberg, Quitzower Str.",,"53.079531000000","11.842876000000",0,900000215706
260000006601,"PTH2","Perleberg, Tannenhof",,"53.077626000000","11.849105000000",0,900000215683
260000032301,"KTP2","Karstädt (PR), Postliner Str.",,"53.161639000000","11.746743000000",0,900000215449
900000215683,"","Perleberg, Tannenhof",,"53.077626000000","11.849105000000",1,
390000017019,"Busbahnh","Busbahnhof",,"51.525940000000","14.004271000000",0,900000435300
000005100106,"","Gorzow Wlkp. Wieprz.",,"52.718037000000","15.181321000000",0,900000810116
000005100135,"","Stare Bielice",,"52.851366000000","15.922862000000",0,
000005100137,"","Strzelce Kraj.Wschod",,"52.834702000000","15.585417000000",0,
000005100261,"","Witnica",,"52.667578000000","14.889909000000",0,900000810112
000005100295,"","Dabroszyn",,"52.617782000000","14.707989000000",0,900000810110
000005100296,"","Kamien Maly",,"52.639710000000","14.776873000000",0,900000810111
000005100297,"","Nowiny Wielkie",,"52.670504000000","15.003495000000",0,900000810113
000005100298,"","Bogdaniec",,"52.687490000000","15.081338000000",0,900000810114
000005100299,"","Lupowo",,"52.698604000000","15.128557000000",0,900000810115
000005101169,"","Gorki Noteckie",,"52.790265000000","15.490993000000",0,
000005102461,"","Nowe Drezdenko",,"52.851361000000","15.831217000000",0,
000005103443,"","Stare Kurowo",,"52.851363000000","15.679855000000",0,
000005103515,"","Santok",,"52.740266000000","15.420168000000",0,
000005103573,"","Sarbiewo",,"52.818033000000","15.546541000000",0,
140000010216,"Bicking","Bicking",,"51.681380000000","13.191401000000",0,900000415366
140000010248,"Döbricha","Döbrichau",,"51.599954000000","13.124997000000",0,900000419022
140000010252,"Frauenho","Frauenhorst",,"51.714398000000","13.205986000000",0,900000415555
140000014652,"Nexdorf,","Nexdorf, Wald",,"51.630428000000","13.371425000000",0,900000415993
140000015042,"Mahdel","Mahdel",,"51.697477000000","13.174554000000",0,900000415891
140000015050,"Buckau,","Buckau, Dorfstraße",,"51.669587000000","13.171823000000",0,900000415400
140000015052,"Buckau,","Buckau, Gasthaus",,"51.664403000000","13.172426000000",0,900000415401
140000015060,"Fermersw","Fermerswalde, Berg",,"51.642700000000","13.177471000000",0,900000415474
140000010602,"Torgau,","Torgau, Straße der Jugend",,"51.559973000000","13.003239000000",0,900000419160
140000010628,"Zwethau,","Zwethau, Kreuzung",,"51.582567000000","13.047683000000",0,900000419179
140000010630,"Zwethau,","Zwethau, OT Kreischau",,"51.573576000000","13.028652000000",0,900000419178
140000016302,"Uebi, OT","Uebigau, OT Bomsdorf",,"51.614013000000","13.295622000000",0,900000416215
140000016397,"Beyern","Beyern",,"51.622507000000","13.201857000000",0,900000415359
140000016216,"Falk. H.","Falkenberg/E., H.-Zille - Straße",,"51.589767000000","13.242839000000",0,900000415325
140000015062,"Fermersw","Fermerswalde, Ort",,"51.647579000000","13.189243000000",0,900000415475
140000015058,"Fermersw","Fermerswalde, B 87",,"51.650257000000","13.187492000000",0,900000415473
140000015054,"Löhsten,","Löhsten, Gasthaus",,"51.614176000000","13.144190000000",0,900000415874
140000015056,"Rahnisdo","Rahnisdorf",,"51.677784000000","13.172743000000",0,900000416064
140000010600,"Torgau,","Torgau, Bahnhof",,"51.562779000000","12.991404000000",0,900000550119
900000261124,"","Wildau, Schmiedestr.",,"52.326738000000","13.635449000000",1,
450009203781,"","Löwenberg (Mark), Am Sonnenhügel",,"52.899354000000","13.159685000000",0,900000203781
450009205653,"","Wittstock (Dosse), Polthierschule",,"53.154169000000","12.480566000000",0,900000205653
450009205656,"","Wittstock (Dosse), Kettenstr. I",,"53.164165000000","12.486314000000",0,900000205656
450009215611,"","Meyenburg, Parkplatz",,"53.315857000000","12.243432000000",0,900000215611
900000205147,"","Kyritz, Werner Str.",,"52.948375000000","12.384269000000",1,
450009205147,"","Kyritz, Werner Str.",,"52.948448000000","12.384032000000",0,900000205147
